曲名,難易度,スコア,メダル
恋愛勇者,0,1000000,3
恋愛勇者,1,1000000,3
恋愛勇者,2,1000000,3
Russian Caravan Rhapsody,2,0923884,1
ロストワンの号哭,0,1000000,3
ロストワンの号哭,1,1000000,3
ロストワンの号哭,2,0996313,2
惑星☆ロリポップ,0,0983606,2
惑星☆ロリポップ,1,0998369,2
惑星☆ロリポップ,2,0999285,2
セツナトリップ,3,0965992,1
パ→ピ→プ→Yeah!,3,0939034,1
惑星☆ロリポップ,3,0954206,1
